Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
PFRM3;8,48;9,08;0,76;0,093;3,85%;0,186;1,17;2,97;-156,11;4,47;2,89;3,13%;1,07%;1,29;11,05%;8,35%;2.127.580,00;1.385.550.000,00;0,57;15,32%;;
PGMN3;6,25;20,97;1,45;0,29;7,60%;0,447;2,23;5,45;-3,25;7,61;4,51;5,33%;1,39%;1,57;10,91%;6,93%;25.455.600,00;2.851.840.000,00;0,61;18,17%;;
PINE3;13;9,24;2,42;0;0,00%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;26,18%;31.616,50;1.249.700.000,00;0;60,92%;;
PINE4;13,15;9,34;2,45;0;4,78%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;26,18%;3.610.690,00;1.249.700.000,00;0;60,92%;;
PLAS3;4,99;-0,35;-0,09;0,053;0,00%;0,098;-0,14;-2,15;-0,06;-11,78;9,92;-2,46%;-15,06%;0,32;-5,68%;26,14%;1.015,83;-673.571.000,00;-0,43;18,58%;;
PLPL3;13,06;8,42;2,69;0,925;11,48%;0,696;1,1;3,63;4,73;3,73;3,63;25,48%;13,28%;3,7;29,26%;31,96%;20.621.300,00;989.580.000,00;1,06;25,95%;;
PMAM3;0,72;-0,06;-0,01;0,161;0,00%;0,056;-0,01;-0,34;-0,01;-20,98;-31,67;-47,01%;-283,89%;0,05;-29,82%;23,04%;1.124.740,00;-6.658.140.000,00;-0,79;-47,30%;;
PNVL3;12,11;16,14;1,44;0,344;1,63%;0,508;1,78;8,72;-10,51;13,57;6,48;3,95%;2,13%;1,91;8,14%;8,93%;6.315.020,00;1.264.170.000,00;1,11;13,71%;;
POMO3;5,55;5,77;1,6;0,758;20,64%;0,709;2,42;4,9;11,01;5,8;5,21;15,45%;13,25%;1,91;20,09%;27,78%;7.287.840,00;4.330.200.000,00;0,75;28,12%;;
POMO4;5,88;6,11;1,7;0,803;19,48%;0,751;2,56;5,2;11,66;6,09;5,48;15,45%;13,25%;1,91;20,09%;27,78%;122.518.000,00;4.330.200.000,00;0,75;28,12%;;
PORT3;18,76;12,36;3,01;2,621;4,08%;1,305;-299,82;8,87;-3,29;11,22;8,21;29,54%;21,50%;0,97;16,14%;24,37%;1.991.520,00;2.759.280.000,00;0,94;5,67%;;
POSI3;4,11;-1.471,71;0,37;0,17;6,66%;0,131;0,49;2,53;5,73;4,87;3,68;6,73%;0,14%;1,69;7,78%;-0,02%;4.373.280,00;1.596.430.000,00;0,84;0,49%;;
PRIO3;41,76;3,61;1,4;2,536;0,00%;0,608;4,87;10,05;-1,8;15,01;6,59;25,23%;70,19%;2,21;7,38%;38,74%;321.379.000,00;25.947.000.000,00;1,05;41,85%;;
PRNR3;15,93;157,28;1,84;0,599;0,27%;0,581;1,65;8;-8,33;9,8;6,06;7,48%;2,47%;2,42;10,94%;1,17%;7.294.890,00;490.187.000,00;1,42;36,18%;;
PSSA3;48,13;9,69;2,09;0,808;4,13%;0,583;4,71;0,99;-4,84;0,57;0,56;81,71%;8,47%;1,26;78,18%;21,54%;91.355.100,00;14.915.000.000,00;0;17,08%;;
PTBL3;3,21;-2,38;2,33;0,174;0,00%;0,127;-7,63;4,82;-0,21;15,81;5,06;3,62%;-7,34%;0,96;3,58%;-97,87%;658.308,00;194.535.000,00;6,61;8,15%;;
PTNT3;8,77;10,15;0,98;0,503;3,02%;0,38;0,88;15,15;6,85;19,44;8,08;3,32%;6,99%;3,72;3,97%;9,67%;3.285,93;429.188.000,00;1,07;0,58%;;
PTNT4;4,55;5,27;0,51;0,261;5,83%;0,197;0,46;7,86;3,55;12,15;5,05;3,32%;6,99%;3,72;3,97%;9,67%;27.374,80;429.188.000,00;1,07;0,58%;;
QUAL3;2,31;67,23;0,49;0,445;0,24%;0,168;-2,1;1,13;-0,55;2,74;1,77;39,27%;1,14%;0,81;19,33%;0,74%;7.348.080,00;1.325.600.000,00;1,05;-8,82%;;
RADL3;23,69;30,93;5,93;0,983;1,86%;1,742;10,69;16,9;-13,55;18,02;10,17;5,81%;3,22%;1,39;14,30%;19,19%;230.691.000,00;6.995.140.000,00;0,47;16,25%;;
RAIL3;14,75;73,38;1,99;1,964;5,48%;0,531;7,61;4,85;-0,96;7,74;4,67;40,47%;2,81%;1,66;12,49%;2,71%;270.766.000,00;13.805.500.000,00;1,58;17,10%;;
RAIZ4;0,8;-0,89;0,6;0,035;0,00%;0,062;0,33;9,95;-0,14;80,97;6,57;0,35%;-3,87%;1,71;0,80%;-67,11%;17.466.400,00;13.848.000.000,00;5,54;9,00%;;
RANI3;8,69;5,13;1,4;1,182;8,76%;0,53;2,44;4,41;-1,85;6,79;4,67;26,79%;23,03%;2,85;15,32%;27,22%;5.633.700,00;1.433.840.000,00;1,23;2,06%;;
RAPT3;5,74;20,41;0,61;0,152;0,77%;0,109;0,37;1,59;-0,53;6,91;5,05;9,56%;2,54%;2,23;8,67%;2,99%;123.749,00;3.284.650.000,00;2,84;10,18%;;
RAPT4;5,46;19,42;0,58;0,145;0,81%;0,104;0,35;1,51;-0,5;6,83;4,99;9,56%;2,54%;2,23;8,67%;2,99%;24.807.300,00;3.284.650.000,00;2,84;10,18%;;
RCSL3;2,31;-3,59;-2,7;22,5;0,00%;1,906;-3,15;-22,79;-1,41;-22,77;-25,29;-98,71%;-622,38%;0,37;-8,72%;75,35%;1.468.140,00;-27.182.000,00;0;-47,59%;;
RCSL4;7,3;-11,34;-8,55;71,105;0,00%;6,024;-9,95;-72,03;-4,45;-72;-79,99;-98,71%;-622,38%;0,37;-8,72%;75,35%;15.896.100,00;-27.182.000,00;0;-47,59%;;
RDNI3;2,14;-0,6;0,56;0,254;0,00%;0,08;0,4;-1,4;-0,26;-8,28;-8,96;-18,12%;-41,67%;1,61;-6,06%;-94,52%;11.607,00;165.979.000,00;2,94;-4,50%;;
RDOR3;40,47;20,86;3,52;1,709;10,61%;0,842;2,35;10,02;-4;9,99;8,33;17,06%;8,46%;3,11;14,21%;16,87%;296.087.000,00;26.332.300.000,00;1,63;32,96%;;
RECV3;11,01;5,21;0,71;0,98;8,18%;0,409;4,34;3,67;-1,66;5,34;2,95;26,70%;18,81%;2,16;13,22%;13,59%;46.147.500,00;4.563.500.000,00;0,53;9,61%;;
REDE3;6,2;11,25;3,83;0,819;8,10%;0,486;6,78;4,18;-0,88;8,13;6,49;19,57%;9,83%;1,38;13,70%;34,03%;26.455,80;4.160.960.000,00;4,38;6,83%;;
RENT3;43,44;27,54;1,94;1,202;4,42%;0,588;7,88;6,56;-1,29;10,97;6,12;18,34%;4,36%;1,45;11,51%;7,06%;407.398.000,00;25.136.800.000,00;1,75;41,56%;;
RIOS3;34;-5,05;-2,56;10,398;0,00%;1,215;-1,12;-42,89;-0,83;-72,26;-36,05;-24,24%;-205,85%;0,01;-3,26%;50,77%;1.032,05;-905.447.000,00;-1,76;53,12%;;
RNEW3;1,02;-2,24;0,3;0,811;0,00%;0,128;-2,19;-4,93;-0,26;-13,35;36,89;-16,44%;-36,23%;0,58;-2,72%;-13,60%;34.486,40;1.250.090.000,00;0,57;43,96%;;
RNEW4;0,92;-2,02;0,27;0,732;0,00%;0,115;-1,98;-4,45;-0,23;-12,86;35,55;-16,44%;-36,23%;0,58;-2,72%;-13,60%;56.817,60;1.250.090.000,00;0,57;43,96%;;
ROMI3;8;7,78;0,61;0,536;6,75%;0,289;0,94;9,03;3,88;15,66;8,6;5,94%;6,91%;2,07;3,75%;7,79%;1.260.160,00;1.229.150.000,00;0,66;-1,28%;;
RPAD3;5,38;28,31;0,45;0;0,17%;0,447;3,59;-250,74;3,8;-179,26;-179,26;0,00%;0,00%;20,16;-0,20%;1,60%;52,25;1.005.490.000,00;0;0,00%;;
RPAD5;6,5;34,21;0,55;0;17,06%;0,54;4,34;-302,94;4,59;-231,46;-231,46;0,00%;0,00%;20,16;-0,20%;1,60%;2.058,93;1.005.490.000,00;0;0,00%;;
RPAD6;4,5;23,68;0,38;0;0,23%;0,374;3,01;-209,72;3,18;-138,25;-138,25;0,00%;0,00%;20,16;-0,20%;1,60%;788,75;1.005.490.000,00;0;0,00%;;
RPMG3;2,09;-0,09;-0,02;0,016;0,00%;0,014;-0,05;-0,08;-0,02;-0,05;-0,05;-21,08%;-19,19%;0,76;-18,65%;22,32%;10.534,50;-7.433.370.000,00;0;43,64%;;
RSID3;1,66;0,12;-0,03;0,399;0,00%;0,067;-0,11;-2,86;-0,03;-32,74;-33,17;-13,95%;328,47%;0,45;-2,51%;-28,42%;17.944,20;-972.057.000,00;-0,39;2,20%;;
RSUL4;69,86;6,48;1,55;1,002;6,81%;0,967;2,74;4,41;4,92;3,89;3,62;22,73%;15,48%;2,6;27,27%;23,91%;67.099,80;273.972.000,00;0,05;6,97%;;
RVEE3;2,89;1,62;0,21;40,101;0,00%;0,166;0,45;-3,45;0,67;-1,17;-1,25;-1160,71%;2479,67%;4,93;-5,45%;13,15%;102.341,00;138.233.000,00;0;0,00%;;
SANB11;33,73;8,53;1,35;0;5,56%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,83%;102.766.000,00;93.667.400.000,00;0;-8,69%;;
SANB3;16,53;8,36;1,32;0;5,40%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,83%;1.141.240,00;93.667.400.000,00;0;-8,69%;;
SANB4;17,19;8,69;1,38;0;5,72%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,83%;1.627.230,00;93.667.400.000,00;0;-8,69%;;
SAPR11;40,19;5,7;1,01;1,713;3,50%;0,467;7,51;6,01;-1,87;6,69;5,14;28,52%;30,05%;1,28;10,27%;17,71%;55.893.100,00;12.030.700.000,00;0,6;9,07%;;
SAPR3;8,93;6,33;1,12;1,903;2,92%;0,519;8,34;6,67;-2,08;7,35;5,65;28,52%;30,05%;1,28;10,27%;17,71%;1.279.520,00;12.030.700.000,00;0,6;9,07%;;
SAPR4;7,8;5,53;0,98;1,662;3,68%;0,453;7,28;5,83;-1,82;6,51;5;28,52%;30,05%;1,28;10,27%;17,71%;8.017.920,00;12.030.700.000,00;0,6;9,07%;;
SBFG3;12,6;9,19;1,03;0,412;4,34%;0,34;2,12;5,65;-2,36;9,78;5,33;7,30%;4,48%;1,44;7,66%;11,26%;35.042.000,00;2.978.670.000,00;1;12,57%;;
SBSP3;133,07;12,99;2,19;2,702;4,64%;0,976;37,37;8,85;-2,58;11,04;9,16;30,55%;20,81%;1,17;12,78%;16,88%;477.950.000,00;42.710.300.000,00;0,82;18,38%;;
SCAR3;13,51;-12,76;0,52;1,965;52,56%;0,272;1,52;8,69;-1,27;17,01;10,33;22,61%;-15,03%;3,3;3,51%;-4,06%;5.388.450,00;1.504.490.000,00;0,7;23,60%;;
SEER3;9,61;11,28;0,93;0,571;1,60%;0,368;6,07;2,9;-1,14;4,08;2,7;19,71%;5,06%;1,27;14,03%;8,25%;12.124.300,00;1.328.930.000,00;0,59;11,96%;;
SEQL3;2,5;-0,03;-0,05;0,039;0,00%;0,035;-0,04;-0,05;-0,02;-1,61;-2,1;-78,59%;-147,74%;0,15;-75,01%;152,58%;675.677,00;-592.212.000,00;-1,5;-20,29%;;
SHOW3;6,09;-0,67;0,4;0,278;0,00%;0,104;0,91;-5,88;-0,76;1,68;24,27;-4,72%;-42,57%;1,23;-3,33%;-59,45%;358.326,00;102.766.000,00;0,6;72,69%;;
SHUL4;4,92;6,74;1,13;0,878;12,86%;0,603;1,4;12,29;3,21;11,38;7,43;7,15%;13,03%;2,93;8,21%;16,80%;2.109.970,00;1.553.730.000,00;0,57;4,30%;;
SIMH3;5,22;-7,14;1,45;0,105;1,35%;0,054;0,59;0,61;-0,09;6,62;4,11;17,24%;-1,27%;1,37;11,55%;-20,27%;31.554.600,00;3.151.220.000,00;18,23;36,45%;;
SLCE3;14,79;12,79;1,4;0,775;8,73%;0,359;2,32;3,76;-1,19;6,8;5,68;20,62%;6,15%;1,55;11,35%;10,95%;33.838.200,00;5.265.740.000,00;1,46;9,02%;;
SMFT3;22,98;23,31;2,4;2,008;4,53%;0,719;10,23;8,49;-1,5;10,54;5,2;23,67%;8,65%;1,46;10,37%;10,29%;143.769.000,00;5.722.890.000,00;1,1;44,06%;;
SMTO3;14,8;9,8;0,71;0,688;3,08%;0,217;0,98;4,68;-0,62;12,17;3,58;14,69%;7,02%;2,86;5,58%;7,20%;39.871.900,00;6.971.480.000,00;1,58;9,20%;;
SNSY5;2,75;-0,1;-0,01;0,021;0,00%;0,037;-0,16;-0,96;-0,01;-12,38;-111,41;-2,25%;-21,38%;0,71;-4,47%;9,63%;5.946,92;-2.171.860.000,00;-0,12;7,84%;;
SOJA3;8,94;12,53;0,91;0,541;3,17%;0,309;0,64;6,82;1,97;8,97;6,98;7,93%;7,96%;3,67;6,55%;7,28%;9.315.730,00;1.390.680.000,00;0,96;23,71%;;
SOND3;48;4,25;1,63;0,535;29,71%;0,972;3,13;3,49;5,17;2,46;2,1;15,32%;12,69%;2,1;40,10%;38,39%;240;72.363.000,00;0;29,88%;;
SOND5;75;6,64;2,55;0,835;20,91%;1,518;4,89;5,45;8,07;4,42;3,78;15,32%;12,69%;2,1;40,10%;38,39%;5.976,33;72.363.000,00;0;29,88%;;
SOND6;68;6,02;2,31;0,757;23,07%;1,376;4,43;4,94;7,32;3,92;3,35;15,32%;12,69%;2,1;40,10%;38,39%;1.692,05;72.363.000,00;0;29,88%;;
SRNA3;12,62;151,28;1,46;1,26;0,00%;0,39;-8,87;6,06;-0,68;14,25;8,75;20,80%;0,86%;0,78;7,01%;0,96%;5.734.000,00;5.387.220.000,00;2,18;44,89%;;
SUZB3;51,87;10,01;1,45;1,281;0,00%;0,399;2,24;5,78;-0,86;11,89;6,03;22,18%;12,87%;3,2;8,38%;14,52%;352.471.000,00;45.118.400.000,00;2,06;5,63%;;
SYNE3;4,83;6,23;1,01;2,282;62,93%;0,312;6,07;6,6;-1,24;8;5,79;34,57%;34,97%;1,51;5,46%;16,18%;3.772.340,00;731.111.000,00;0,63;-12,11%;;
TAEE11;41,97;8,39;1,89;3,206;7,69%;0,663;10,65;6,27;-1,34;10,29;10,12;51,10%;38,21%;1,67;11,27%;22,54%;110.739.000,00;7.645.340.000,00;1,35;6,27%;;
TAEE3;13,93;8,35;1,88;3,192;7,73%;0,66;10,61;6,25;-1,34;10,26;10,09;51,10%;38,21%;1,67;11,27%;22,54%;1.547.390,00;7.645.340.000,00;1,35;6,27%;;
TAEE4;14,15;8,49;1,91;3,243;7,61%;0,67;10,77;6,35;-1,36;10,36;10,19;51,10%;38,21%;1,67;11,27%;22,54%;2.833.890,00;7.645.340.000,00;1,35;6,27%;;
TASA3;5,05;5,68;0,54;0,461;3,65%;0,283;1,48;10,42;3,35;18,97;11,25;4,42%;8,10%;1,51;3,10%;9,56%;124.560,00;1.294.480.000,00;0,6;-13,88%;;
TASA4;4,71;5,3;0,51;0,43;3,91%;0,264;1,38;9,72;3,13;18,27;10,84;4,42%;8,10%;1,51;3,10%;9,56%;1.563.560,00;1.294.480.000,00;0,6;-13,88%;;
TCSA3;1,12;-0,5;0,26;0,291;0,00%;0,072;-0,21;-0,63;-0,17;-4,41;-4,68;-46,61%;-58,13%;0,46;-12,44%;-51,23%;105.404,00;319.278.000,00;1,79;20,98%;;
TECN3;7;6,23;0,97;0,94;3,59%;0,599;1,28;4,73;2,07;4,96;5,59;19,86%;15,07%;3,25;15,45%;15,64%;430.294,00;437.339.000,00;0,21;7,91%;;
TELB3;11;19,97;0,73;2,428;0,00%;0,265;0,63;-3,65;-2,1;0,86;9,25;-66,51%;12,16%;5,55;-12,02%;3,68%;10.675,10;1.527.940.000,00;0;13,00%;;
TELB4;7,77;14,11;0,52;1,715;0,00%;0,187;0,45;-2,58;-1,48;1,93;20,84;-66,51%;12,16%;5,55;-12,02%;3,68%;20.712,30;1.527.940.000,00;0;13,00%;;
TEND3;23,22;6,74;2,32;0,741;5,31%;0,46;1,61;5,36;-2,35;5,94;5,25;13,81%;10,64%;1,89;10,81%;34,41%;58.943.000,00;1.227.280.000,00;1;10,81%;;
TFCO4;16,05;17,63;4,64;2,467;1,79%;2,728;6,17;12,34;10,12;13,09;11,95;19,99%;13,97%;2,86;25,21%;26,31%;13.027.200,00;530.276.000,00;0,32;24,40%;;
TGMA3;36,39;8,71;2,44;1,073;12,17%;1,725;5,4;6,9;7,68;6,67;6,14;15,55%;12,32%;2,61;32,04%;28,02%;7.717.260,00;984.234.000,00;0,17;22,12%;;
TIMS3;21,64;21,03;2,05;3,804;11,75%;0,902;-87,35;14,77;-2,86;13,72;5,46;25,75%;18,09%;0,96;7,52%;9,76%;155.446.000,00;25.213.200.000,00;0,11;-10,04%;;
TKNO4;203,51;16,87;1,79;1,989;10,09%;1,485;3,33;19,82;3,62;17,32;13,55;10,04%;11,79%;4,29;10,26%;10,62%;88.974,40;334.897.000,00;0,01;-0,35%;;
TOKY3;0,79;-1,39;634,94;0,225;0,00%;88,903;-4.168,78;-19,51;-137,62;-19,59;3,94;-1,15%;-19,63%;0,94;-543,53%;-45589,10%;723.066,00;269.731,00;2,53;0,05%;;
TOTS3;40,98;30,26;4,84;4,189;1,49%;2,664;13,6;11,06;-36,8;10,91;9,43;37,89%;14,27%;2,35;31,72%;15,99%;126.097.000,00;5.077.360.000,00;0,33;17,49%;;
TPIS3;4,8;-2,87;0,25;0,185;0,00%;0,083;-0,21;1,67;-0,14;11,29;3,94;11,09%;-9,00%;0,16;5,21%;-8,57%;192.671,00;859.637.000,00;1,5;3,05%;;
TRAD3;4,07;-3,29;0,89;5,185;0,00%;0,75;1,66;-3,74;1,7;-3,16;-3,97;-138,63%;-158,36%;9,31;-22,70%;-27,03%;158.839,00;183.145.000,00;0;-29,38%;;
TRIS3;6,15;7;0,94;1,099;16,08%;0,427;0,75;7,31;1,32;9,6;8,46;15,03%;16,29%;2,96;7,20%;13,44%;3.278.110,00;1.586.440.000,00;0,67;15,39%;;
TTEN3;16,44;9,51;1,75;0,516;1,16%;0,663;3,26;10,24;27,83;12,64;11,07;5,04%;5,42%;1,46;10,67%;18,40%;20.742.800,00;4.693.380.000,00;0,87;36,87%;;
TUPY3;11,63;-12,1;0,5;0,154;0,00%;0,156;0,43;3,16;-2,23;7,87;4,35;4,87%;-1,29%;2,45;7,03%;-4,13%;13.338.600,00;3.081.650.000,00;1,28;10,95%;;
TXRX3;9,97;-0,73;-0,11;0,376;0,00%;0,244;-0,23;-5,09;-0,09;-46;-93,94;-7,39%;-51,35%;0,28;-5,10%;15,03%;99,7;-385.474.000,00;-0,89;-10,32%;;
TXRX4;1,57;-0,12;-0,02;0,059;0,00%;0,038;-0,04;-0,8;-0,01;-41,71;-85,18;-7,39%;-51,35%;0,28;-5,10%;15,03%;404,28;-385.474.000,00;-0,89;-10,32%;;
UCAS3;1,35;-38,11;0,49;0,375;0,00%;0,233;6,81;-7,35;-0,97;-13,17;23,18;-5,11%;-0,98%;1,14;-3,69%;-1,28%;63.864,50;183.135.000,00;0,61;1,75%;;
UGPA3;20,97;7,87;1,43;0,167;8,34%;0,514;3,17;4,33;-2,21;7;5,51;3,87%;2,27%;1,83;14,19%;18,14%;146.754.000,00;16.387.700.000,00;1,13;5,26%;;
UNIP3;58,87;8,48;2,7;1,203;19,27%;0,873;3,18;7,01;-3,19;8,7;6,48;17,16%;14,12%;3,18;17,08%;31,82%;1.029.590,00;2.470.310.000,00;1,34;-5,14%;;
UNIP5;62;8,93;2,84;1,267;20,12%;0,919;3,34;7,38;-3,36;9,07;6,76;17,16%;14,12%;3,18;17,08%;31,82%;28.107,30;2.470.310.000,00;1,34;-5,14%;;
UNIP6;58,19;8,38;2,67;1,189;21,44%;0,863;3,14;6,93;-3,16;8,62;6,42;17,16%;14,12%;3,18;17,08%;31,82%;20.703.100,00;2.470.310.000,00;1,34;-5,14%;;
USIM3;5,97;-2,25;0,36;0,282;0,00%;0,212;0,6;7,21;1,6;7,42;3,34;3,90%;-11,88%;4,21;3,84%;-16,03%;4.269.070,00;20.751.300.000,00;0,3;-5,32%;;
USIM5;5,98;-2,25;0,36;0,282;0,00%;0,212;0,6;7,22;1,6;7,43;3,35;3,90%;-11,88%;4,21;3,84%;-16,03%;59.564.900,00;20.751.300.000,00;0,3;-5,32%;;
USIM6;8;-3,01;0,48;0,377;0,00%;0,284;0,8;9,66;2,14;9,87;4,45;3,90%;-11,88%;4,21;3,84%;-16,03%;20;20.751.300.000,00;0,3;-5,32%;;
VALE3;72,38;10,88;1,51;1,54;10,53%;0,677;19,53;4,65;-1,9;5,59;4,49;33,09%;13,72%;1,24;16,71%;13,84%;1.619.710.000,00;218.127.000.000,00;0,45;-7,69%;;
VAMO3;3,25;26,4;1,34;1,037;4,33%;0,153;1,1;1,31;-0,26;5,75;4,26;79,20%;3,93%;1,93;15,20%;5,06%;59.177.300,00;2.630.600.000,00;6,28;12,10%;;
VBBR3;25,76;16,8;1,46;0,169;5,73%;0,506;2,44;7,34;-2,01;11,87;9,76;2,30%;0,99%;2,09;8,34%;8,67%;260.230.000,00;21.201.000.000,00;1,18;9,46%;;
VITT3;4,61;11,11;1,1;0,831;5,90%;0,73;2,09;8,71;2,66;10,56;8,02;9,53%;7,42%;2,35;9,44%;9,90%;798.326,00;617.380.000,00;0,36;1,52%;;
VIVA3;32,26;10,28;2,6;2,65;4,21%;1,622;3,12;9,88;6,02;10,29;8,66;26,81%;25,78%;5,17;18,13%;25,25%;80.256.400,00;2.935.850.000,00;0,19;21,13%;;
VIVR3;0,61;-1,68;0,38;0,79;0,00%;0,123;1,82;-2,74;-0,53;-4,04;-4,19;-28,83%;-47,03%;1,19;-4,77%;-22,88%;33.003,80;77.426.000,00;0,32;-11,52%;;
VIVT3;32,74;17,45;1,54;1,804;5,11%;0,853;285,99;11,84;-3,39;13,1;4,91;15,24%;10,32%;1,02;8,30%;8,85%;126.609.000,00;68.438.100.000,00;0,26;7,69%;;
VLID3;21,03;7,18;1;0,812;14,65%;0,599;1,74;5,45;5,55;5,63;4,13;14,90%;11,42%;3,14;14,69%;13,91%;7.429.830,00;1.721.540.000,00;0,35;0,12%;;
VSTE3;3,93;22,2;0,43;0,373;0,04%;0,267;3,02;6,04;-4,43;10,17;3,05;6,18%;1,68%;1,39;4,88%;1,92%;115.155,00;1.054.910.000,00;0,33;8,83%;;
VTRU3;14,02;4;0,66;0,843;0,15%;0,308;2,87;2,4;-0,88;4,52;3,53;35,17%;21,06%;2,34;15,04%;16,58%;8.103.010,00;2.834.840.000,00;0,86;8,81%;;
VULC3;19,91;5,36;2,52;1,823;24,27%;1,494;3,67;10,74;6,04;11,49;9,45;16,97%;34,01%;2,65;16,77%;46,97%;24.512.400,00;2.503.080.000,00;0,4;17,42%;;
VVEO3;1,35;-0,44;0,22;0,038;0,00%;0,048;0,28;-4,45;-0,19;-33,06;14,63;-0,86%;-8,78%;1,49;-1,49%;-49,46%;2.736.150,00;2.014.760.000,00;1,79;12,94%;;
WDCN3;2,62;-240,97;0,26;0,189;7,25%;0,115;0,5;1,14;-2,14;-0,27;-0,11;16,61%;-0,07%;1,84;12,67%;-0,11%;68.306,90;642.573.000,00;0;-6,96%;;
WEGE3;48,25;31,24;9,04;4,894;5,08%;4,881;17,28;22,64;23,28;22,25;20,11;21,62%;16,54%;1,78;28,49%;28,93%;386.495.000,00;22.408.800.000,00;0,17;16,17%;;
WEST3;5,58;-5,41;0,28;0,423;0,00%;0,206;0,52;-1,52;0,62;0,8;1,27;-27,86%;-7,82%;2,97;-25,23%;-5,19%;45.583,70;220.729.000,00;0,03;-17,00%;;
WHRL3;4,29;9,19;3,01;0,5;16,20%;0,643;-22,5;5,19;-5,85;5,07;4,24;9,65%;5,46%;0,96;30,69%;32,74%;28.149,80;2.143.130.000,00;0,94;4,01%;;
WHRL4;4,65;9,96;3,26;0,542;16,01%;0,697;-24,38;5,62;-6,34;5,51;4,61;9,65%;5,46%;0,96;30,69%;32,74%;51.999,50;2.143.130.000,00;0,94;4,01%;;
WIZC3;8,77;7,38;2,01;1,027;6,46%;0,581;37;2,02;-2,55;2,15;1,85;50,71%;25,66%;1,07;35,46%;27,23%;3.483.170,00;697.848.000,00;0,55;13,39%;;
WLMM3;20,4;6,31;0,9;0,243;11,46%;0,484;1,68;4,53;3,89;6,5;6,24;5,36%;3,84%;1,96;12,31%;14,25%;581,48;826.271.000,00;0,52;19,09%;;
WLMM4;20,14;6,23;0,89;0,24;12,77%;0,478;1,66;4,47;3,84;6,45;6,18;5,36%;3,84%;1,96;12,31%;14,25%;29.553,70;826.271.000,00;0,52;19,09%;;
YDUQ3;12,19;13,67;1,07;0,609;9,35%;0,344;9,1;3,88;-0,81;8,82;4,54;15,72%;4,44%;1,18;10,20%;7,80%;41.235.400,00;3.134.370.000,00;1,69;6,69%;;
ZAMP3;3,5;-7,95;0,98;0,282;0,00%;0,329;-9,5;37,22;-0,75;57,06;3,77;0,76%;-3,55%;0,87;1,05%;-12,35%;185.358,00;1.449.630.000,00;0,76;16,52%;;
