Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
HETA4;5;2,31;-0,01;0,553;0,00%;0,203;-1,16;0,59;-0,01;76,07;76,07;93,21%;23,91%;0,51;34,28%;-0,32%;720,4;-350.075.000,00;-0,93;18,12%;;
HOOT4;6,2;1,7;-3,66;0,578;0,00%;0,216;-3,16;1,59;-0,23;1,07;0,93;36,33%;34,10%;0,75;14,77%;-216,14%;33.995,50;-31.082.000,00;0;50,06%;;
HYPE3;23,33;17,94;1,21;2,119;5,02%;0,587;11,14;12,73;-2,24;18,99;14,99;16,65%;11,75%;1,27;5,11%;6,72%;59.889.200,00;12.254.200.000,00;0,75;6,10%;;
IFCM3;1,17;-0,64;0,42;0,168;0,00%;0,106;0,47;-0,1;-0,39;-0,35;-0,37;-163,80%;-26,31%;1,91;-129,97%;-65,71%;928.010,00;338.323.000,00;1,24;1,23%;;
IGBR3;175,99;0,56;-0,34;30,247;0,00%;1,035;-0,99;-3,7;-0,29;-7,85;-8,21;-817,12%;5379,32%;0,33;-57,99%;-60,10%;10.393,30;-650.957.000,00;-0,54;13,97%;;
IGTI11;25,31;12,98;1,62;5,266;1,55%;0,797;5,12;8,6;-3,08;11,05;9,51;61,26%;40,58%;2,67;11,56%;12,47%;57.543.200,00;4.640.860.000,00;0,86;16,02%;;
IGTI3;2,93;10,52;1,31;4,267;1,92%;0,646;4,15;6,97;-2,49;9,42;8,11;61,26%;40,58%;2,67;11,56%;12,47%;150.427,00;4.640.860.000,00;0,86;16,02%;;
INEP3;1,59;-0,18;-0,04;19,285;0,00%;0,177;-0,08;-0,85;-0,04;-10,76;-11,53;-2280,75%;-10707,10%;0,13;-26,48%;23,84%;53.473,20;-1.791.040.000,00;-0,52;-24,59%;;
INEP4;1,18;-0,14;-0,03;14,312;0,00%;0,131;-0,06;-0,63;-0,03;-10,54;-11,3;-2280,75%;-10707,10%;0,13;-26,48%;23,84%;33.043,80;-1.791.040.000,00;-0,52;-24,59%;;
INTB3;11,6;8,04;1,2;0,83;12,09%;0,68;1,53;8,03;2,24;7,59;6,12;10,33%;10,33%;2,54;13,81%;14,99%;29.665.600,00;3.154.380.000,00;0,33;11,78%;;
IRBR3;52,36;10,13;0,8;0,768;0,00%;0,274;0;6,64;0;0;0;11,57%;7,58%;0;0,00%;7,94%;40.999.000,00;5.327.120.000,00;0;32,90%;;
ISAE3;34;7,66;1,07;2,51;9,67%;0,491;4,09;6,52;-1,3;10,13;10,02;38,51%;33,45%;4,46;7,99%;13,99%;84.232,30;20.907.000.000,00;0,71;17,91%;;
ISAE4;26,9;6,06;0,85;1,986;12,22%;0,388;3,23;5,16;-1,03;8,77;8,68;38,51%;33,45%;4,46;7,99%;13,99%;52.243.400,00;20.907.000.000,00;0,71;17,91%;;
ITSA3;12,11;8,54;1,47;16,529;13,96%;1,197;25,79;734,04;-19,81;757,31;97,16;2,25%;194,75%;2,18;0,17%;17,22%;2.933.790,00;92.412.000.000,00;0,1;0,25%;;
