Resultado da busca;;;;;;;;;;;;;;
Papel;Segmento;CotaÃ§a;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imovei;PreÃ§o do ;Aluguel por m2;Cap Rate;Vacancia Med;Nota;InformaÃ§a
BTRA11;Outros;60,8;10,30%;7,91%;0,54;204.565.000;159.621;5;1,4;0,16;11,36%;5,76%;;
BTSI11;Multicategoria;109,59;5,53%;8,65%;0,93;670.163.000;11;6;1.237,78;95,63;7,73%;0,00%;;
BTYU11;Outros;9,9;13,08%;13,82%;0,98;297.000.000;9.634;0;0;0;0,00%;0,00%;;
BVAR11;Varejo;1.209,10;4,02%;6,45%;1,57;756.340.000;61;45;5.236,78;355,34;6,79%;19,42%;;
CACR11;Multicategoria;78,02;20,70%;20,39%;1,06;377.330.000;1.617.940;0;0;0;0,00%;0,00%;;
CARE11;Multicategoria;1,04;-4,31%;0,00%;0,15;37.446.400;6.351;1;0;0;0,00%;0,00%;;
CBOP11;Escritï¿½ï¿;33,63;3,76%;4,72%;0,5;47.586.400;89.765;1;2.791,81;329,5;11,80%;30,03%;;
CCME11;Multicategoria;9,21;11,22%;10,73%;0,88;624.411.000;188.052;1;6.858,21;579,41;8,45%;15,64%;;
CEOC11;Escritï¿½ï¿;45,55;12,28%;12,28%;0,63;82.705.000;31.143;1;5.279,81;759,64;14,39%;0,00%;;
CFHI11;Multicategoria;20,1;58,95%;37,08%;0,76;1.901.460;4;4;0;0;0,00%;0,00%;;
CFII11;Multicategoria;523;4,16%;24,59%;0,63;66.064.800;26;9;11.857,10;826,05;6,97%;0,00%;;
CJCT11;Escritï¿½ï¿;63,92;3,64%;4,03%;0,87;200.709.000;235.466;1;10.434,10;710,32;6,81%;36,48%;;
CLIN11;Outros;88,3;14,25%;13,89%;0,9;383.819.000;1.327.960;0;0;0;0,00%;0,00%;;
CNES11;Escritï¿½ï¿;1,83;4,74%;4,81%;0,28;62.466.700;352.121;1;191,46;36,05;18,83%;59,40%;;
CPLG11;Logï¿½ï¿½;13,1;0,12%;8,39%;1,26;570.407.000;26.160.100;1;1.068,72;2,13;0,20%;0,00%;;
CPOF11;Outros;110;4,37%;6,24%;1,03;524.965.000;6.447.970;4;4,13;0,26;6,33%;3,00%;;
CPSH11;Shoppings;10,99;5,23%;11,42%;0,96;875.901.000;7.188.610;7;767,77;87,08;11,34%;0,00%;;
CPTR11;Outros;8,24;115,71%;8,95%;0,84;163.355.000;290.687;0;0;0;0,00%;0,00%;;
CPTS11;Outros;7,83;6,66%;12,78%;0,87;2.572.610.000;6.947.670;0;0;0;0,00%;0,00%;;
CPUR11;Multicategoria;11,04;7,83%;10,16%;1,12;743.519.000;15.983.900;12;7.522,30;452,98;6,02%;0,60%;;
CRAA11;Tï¿½ï¿½tulos e Val.;96;8,41%;8,50%;0,94;227.504.000;687.224;0;0;0;0,00%;0,00%;;
CRFF11;Multicategoria;73,67;9,64%;10,73%;0,88;50.835.200;11.440;0;0;0;0,00%;0,00%;;
CTXT11;Escritï¿½ï¿;5,52;-20,18%;0,00%;0,29;29.724.700;1.006;1;627,72;0,74;0,12%;100,00%;;
CVBI11;Outros;82,78;14,59%;14,35%;0,89;911.427.000;3.128.870;0;0;0;0,00%;0,00%;;
CXAG11;Varejo;77,15;11,62%;11,60%;0,7;161.291.000;115.121;32;2.758,67;359,59;13,03%;0,00%;;
CXCE11;Escritï¿½ï¿;41,19;13,53%;13,02%;0,65;70.556.400;15.050;1;3.315,96;492,56;14,85%;0,00%;;
CXCI11;Multicategoria;70,48;13,57%;12,89%;0,83;145.029.000;156.400;0;0;0;0,00%;0,00%;;
CXCO11;Multicategoria;67,55;12,93%;12,61%;0,7;265.100.000;438.709;10;2.832,33;417,42;14,74%;0,00%;;
CXRI11;Multicategoria;64,3;11,09%;11,87%;0,76;101.321.000;470.016;0;0;0;0,00%;0,00%;;
CXTL11;Logï¿½ï¿½;357,99;4,69%;3,57%;0,87;19.187.200;205.609;1;2.731,52;461,9;16,91%;0,00%;;
