Resultado da busca;;;;;;;;;;;;;;
Papel;Segmento;CotaÃ§a;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imovei;PreÃ§o do ;Aluguel por m2;Cap Rate;Vacancia Med;Nota;InformaÃ§a
MCRE11;Multicategoria;9,39;11,85%;13,76%;0,94;1.047.910.000;4.883.190;1;1.763,80;89,73;5,09%;35,85%;;
MFII11;Multicategoria;75,12;2,74%;17,11%;0,76;510.816.000;1.386.370;3;8.141,75;0;0,00%;0,00%;;
MGHT11;Hotel;18,5;-12,36%;0,00%;0,8;24.305.000;263.476;0;0;0;0,00%;0,00%;;
MXRF11;Logï¿½ï¿½;9,52;10,67%;13,29%;1,01;4.381.770.000;15.019.900;3;18.936,80;0;0,00%;0,00%;;
NAUI11;Multicategoria;1.100,00;-5,82%;0,00%;3,06;56.908.500;60.754;0;0;0;0,00%;0,00%;;
NAVT11;Outros;71,95;13,77%;12,34%;0,83;44.053.700;74.219;0;0;0;0,00%;0,00%;;
NCHB11B;Multicategoria;7,97;15,42%;14,84%;0,82;121.793.000;7.729;0;0;0;0,00%;0,00%;;
NCRA11;Outros;7,7;21,21%;15,44%;0,73;34.341.600;63.185;0;0;0;0,00%;0,00%;;
NCRI11;Outros;9,31;13,78%;13,18%;0,93;36.774.500;27.334;0;0;0;0,00%;0,00%;;
NEWL11;Multicategoria;114,49;12,58%;9,97%;0,88;321.739.000;699.314;3;3.493,52;341,66;9,78%;0,00%;;
NEWU11;Multicategoria;104,98;3,74%;2,48%;1,26;77.895.200;203.572;3;3.525,98;699,45;19,84%;47,02%;;
NEXG11;Outros;130,24;3,59%;4,23%;1,3;90.972.600;314.256;0;0;0;0,00%;0,00%;;
NSLU11;Hospital;205,2;9,46%;13,03%;0,95;265.382.000;397.612;1;10.488,90;1.093,16;10,42%;0,00%;;
NVHO11;Hospital;12,7;10,62%;8,95%;0,77;526.981.000;2.591;4;17.254,40;1.889,63;10,95%;0,00%;;
OCRE11;Multicategoria;74,09;9,88%;9,60%;0,49;31.339.000;35.820;0;0;0;0,00%;0,00%;;
OIAG11;Outros;8,79;9,66%;10,26%;0,9;79.400.100;215.524;0;0;0;0,00%;0,00%;;
ONDV11;Outros;9,88;8,05%;5,90%;0,83;9.975.020;5.445;0;0;0;0,00%;0,00%;;
OUJP11;Multicategoria;78,14;16,76%;15,90%;0,77;254.141.000;368.811;0;0;0;0,00%;0,00%;;
OULG11;Logï¿½ï¿½;24,04;10,13%;2,62%;0,84;59.650.100;1.055.960;1;0;253,86;0,00%;0,00%;;
OXRL11;Multicategoria;125,35;-1,18%;0,78%;1,42;24.176.800;165.930;1;37.676,20;91,5;0,24%;0,00%;;
PATA11;Outros;10,38;12,31%;18,47%;1,03;17.666.800;2.368;0;0;0;0,00%;0,00%;;
PATC11;Outros;41,95;3,41%;2,66%;1,02;145.878.000;521.384;4;18.765,80;1.041,85;5,55%;8,37%;;
PATL11;Logï¿½ï¿½;66,15;11,04%;10,61%;0,68;330.190.000;1.138.870;4;2.115,06;272,57;12,89%;2,71%;;
PCIP11;Outros;84,75;9,77%;14,01%;0,91;1.441.740.000;3.217.250;0;0;0;0,00%;0,00%;;
PDBM11;Outros;115;5,12%;8,82%;1,01;39.100.000;25;1;4.413,21;279,31;6,33%;100,00%;;
PEMA11;Multicategoria;41,25;18,55%;20,62%;0,71;22.770.000;168;0;0;0;0,00%;0,00%;;
PLAG11;Outros;50,2;11,07%;11,19%;0,81;273.722.000;228.464;12;1.907,89;231,73;12,15%;0,00%;;
PLCA11;Tï¿½ï¿½tulos e Val.;72,24;21,18%;5,24%;0,76;40.239.100;72.477;0;0;0;0,00%;0,00%;;
PLRI11;Multicategoria;11,35;7,80%;2,17%;0,77;10.831.400;1.773;0;0;0;0,00%;0,00%;;
PMFO11;Outros;88,14;11,74%;11,34%;1;86.016.400;3.593;0;0;0;0,00%;0,00%;;
PMIS11;Outros;8,24;13,57%;13,60%;0,88;121.979.000;258.732;0;0;0;0,00%;0,00%;;
PMLL11;Shoppings;104,7;14,31%;9,70%;0,85;1.463.930.000;4.548.220;11;3.658,48;596,14;16,29%;3,66%;;
PNDL11;Multicategoria;1.200,00;-0,17%;0,00%;1,13;173.198.000;991.841;0;0;0;0,00%;0,00%;;
PNRC11;Multicategoria;61;3,98%;7,93%;1,46;25.016.100;3;3;10.432,60;0;0,00%;0,00%;;
PORD11;Multicategoria;8,06;13,63%;13,86%;0,84;300.507.000;576.084;0;0;0;0,00%;0,00%;;
PQAG11;Logï¿½ï¿½;56,99;9,86%;9,84%;1,03;797.398.000;1.325.990;1;12.324,50;1.225,86;9,95%;0,00%;;
PQDP11;Shoppings;2.300,00;10,19%;9,95%;0,69;244.384.000;365.402;1;1.811,99;227,36;12,55%;2,71%;;
PRSN11;Multicategoria;9;-1,26%;40,01%;3,44;29.081.200;110;1;721.088,00;0;0,00%;0,00%;;
PRSV11;Escritï¿½ï¿;32,03;-30,32%;0,00%;0,25;8.204.770;1.313;1;812,49;0;0,00%;100,00%;;
PSEC11;Outros;64,3;7,08%;12,91%;0,87;1.183.080.000;2.966.520;0;0;0;0,00%;0,00%;;
PVBI11;Escritï¿½ï¿;80,2;7,32%;7,18%;0,74;2.175.830.000;4.725.070;7;21.261,20;1.812,35;8,52%;16,49%;;
QAGR11;Outros;41;13,19%;12,94%;0,68;206.640.000;149.034;12;1.432,53;217,65;15,19%;0,00%;;
RBCO11;Escritï¿½ï¿;44;12,33%;8,39%;0,49;166.276.000;144.616;4;3.812,31;614,84;16,13%;0,00%;;
RBDS11;Residencial;1,99;-77,04%;0,00%;0,11;251.781;42;0;0;0;0,00%;0,00%;;
RBFF11;Outros;51,66;13,20%;12,68%;0,82;193.684.000;334.553;0;0;0;0,00%;0,00%;;
RBFY11;Residencial;71;0,00%;0,98%;0,75;68.859.100;6.508;0;0;0;0,00%;0,00%;;
RBHG11;Outros;65,47;9,30%;14,48%;0,75;141.936.000;213.655;0;0;0;0,00%;0,00%;;
RBHY11;Outros;77,03;11,23%;16,06%;0,84;145.857.000;121.365;0;0;0;0,00%;0,00%;;
RBIR11;Residencial;92,7;11,79%;13,84%;1,02;141.703.000;208.541;1;45.096,90;0;0,00%;0,00%;;
RBLG11;Logï¿½ï¿½;60;8,57%;6,67%;0,91;38.411.900;43;1;340,95;29,08;8,53%;0,00%;;
RBOP11;Outros;213,97;5,75%;6,33%;0,3;21.753.000;17.539;2;1.220,45;176,26;14,44%;75,73%;;
RBRD11;Multicategoria;41,31;14,40%;15,13%;0,64;76.497.300;108.851;4;2.786,93;426,33;15,30%;14,02%;;
RBRI11;Multicategoria;491,18;55,48%;20,34%;1,01;68.600.700;631;0;0;0;0,00%;0,00%;;
RBRL11;Logï¿½ï¿½;93,62;8,31%;9,52%;0,89;626.040.000;1.055.580;5;2.468,13;268,26;10,87%;0,00%;;
RBRP11;Outros;54,4;7,25%;9,04%;0,71;662.548.000;1.054.450;6;10.485,10;753,48;7,19%;15,65%;;
RBRR11;Multicategoria;87,75;10,11%;11,97%;0,94;1.430.350.000;3.916.890;0;0;0;0,00%;0,00%;;
RBRS11;Residencial;34,93;4,35%;7,04%;0,36;26.702.300;31.940;3;4.291,69;1.049,64;24,46%;25,28%;;
RBRX11;Multicategoria;8,35;2,57%;12,38%;0,85;1.222.060.000;2.880.590;1;9.795,69;0;0,00%;0,00%;;
RBRY11;Multicategoria;99,48;11,64%;13,54%;1;1.270.310.000;5.294.470;0;0;0;0,00%;0,00%;;
RBTS11;Multicategoria;399,99;1,73%;3,20%;1,19;22.609.400;45;0;0;0;0,00%;0,00%;;
RBVA11;Varejo;10,11;5,98%;10,57%;0,96;1.578.610.000;2.260.810;82;6.164,24;693,14;11,24%;5,35%;;
RCFF11;Outros;94;28,50%;8,97%;0,95;30.380.800;39;0;0;0;0,00%;0,00%;;
RCRB11;Escritï¿½ï¿;141,66;5,89%;6,98%;0,71;522.824.000;806.050;9;13.160,70;1.292,14;9,82%;0,29%;;
RCRI11;Outros;102,01;3,26%;5,24%;1,04;43.062.900;141.049;0;0;0;0,00%;0,00%;;
RDIV11;Multicategoria;86;9,92%;0,00%;1,01;225.643.000;198.353;0;0;0;0,00%;0,00%;;
RDLI11;Logï¿½ï¿½;124,99;-2,21%;12,25%;1,35;240.505.000;2.351;0;0;0;0,00%;0,00%;;
RECD11;Outros;8,82;13,06%;10,23%;1,07;48.102.300;399;0;0;0;0,00%;0,00%;;
RECM11;Multicategoria;8,6;12,98%;15,59%;0,89;72.244.400;10.478;0;0;0;0,00%;0,00%;;
RECR11;Multicategoria;82,59;13,86%;13,96%;0,92;2.183.820.000;3.084.290;1;42.569,60;0;0,00%;100,02%;;
RECT11;Multicategoria;38,77;12,00%;11,54%;0,43;331.231.000;424.432;9;3.878,44;779,54;20,10%;7,10%;;
REIT11;Outros;82,11;10,79%;12,58%;0,27;2.158.750;2;0;0;0;0,00%;0,00%;;
RELG11;Multicategoria;66,19;12,82%;13,35%;0,77;88.334.700;233.121;0;0;0;0,00%;0,00%;;
RENV11;Multicategoria;8,08;0,51%;4,11%;0,56;8.296.500;16.241;0;0;0;0,00%;0,00%;;
RINV11;Outros;105,99;9,50%;11,75%;1,04;416.229.000;501.534;0;0;0;0,00%;0,00%;;
RMAI11;Multicategoria;44,4;11,80%;13,01%;0,41;139.476.000;45.145;2;2.563,46;542;21,14%;13,30%;;
RNGO11;Escritï¿½ï¿;51;8,81%;7,86%;0,61;136.476.000;65.634;4;2.380,93;320,75;13,47%;12,23%;;
ROOF11;Multicategoria;350;-14,60%;0,00%;1,09;27.123.200;42;36;1.215,52;0;0,00%;0,00%;;
RPRI11;Outros;84,94;13,59%;14,68%;0,85;294.889.000;443.158;0;0;0;0,00%;0,00%;;
RRCI11;Outros;80,25;11,95%;12,61%;0,87;38.661.000;272.273;0;0;0;0,00%;0,00%;;
RSPD11;Residencial;850;15,67%;14,55%;0,96;126.659.000;121.545;1;54.861,10;0;0,00%;0,00%;;
RURA11;Tï¿½ï¿½tulos e Val.;8,62;12,44%;5,78%;0,84;1.380.060.000;2.235.890;0;0;0;0,00%;0,00%;;
RVBI11;Outros;59,9;13,05%;14,10%;0,81;615.533.000;931.734;0;0;0;0,00%;0,00%;;
RZAG11;Tï¿½ï¿½tulos e Val.;9,47;17,59%;7,02%;0,98;644.343.000;1.497.200;0;0;0;0,00%;0,00%;;
RZAK11;Multicategoria;83,11;13,94%;17,01%;0,95;732.023.000;1.581.980;0;0;0;0,00%;0,00%;;
RZAT11;Multicategoria;88,19;13,78%;13,66%;0,87;373.488.000;672.283;13;705,04;106,6;15,12%;0,00%;;
RZLC11;Outros;1.013,82;14,70%;13,83%;1,01;50.691.000;901.154;0;0;0;0,00%;0,00%;;
RZTR11;Outros;96,3;10,04%;12,62%;0,97;1.815.420.000;3.099.740;17;3,23;0,28;8,65%;24,40%;;
RZZI11;Logï¿½ï¿½;1.000,00;0,15%;0,44%;0,99;111.541.000;51.282;1;0;10,56;0,00%;54,04%;;
RZZR11;Logï¿½ï¿½;137,46;9,22%;10,27%;0,78;764.707.000;30.668;10;3,45;0,36;10,54%;0,00%;;
RZZV11;Logï¿½ï¿½;1.050,00;6,14%;7,17%;0,86;161.125.000;20.641;1;809,4;59,53;7,35%;0,00%;;
SAPI11;Multicategoria;8,93;14,65%;15,72%;0,9;137.851.000;251.964;0;0;0;0,00%;0,00%;;
SCPF11;Shoppings;2,7;12,87%;0,00%;0,25;11.340.000;896;1;2.366,99;735,1;31,06%;23,66%;;
SEQR11;Logï¿½ï¿½;52,74;12,97%;13,08%;0,56;87.848.800;53.907;4;2.135,49;357,91;16,76%;0,00%;;
SHOP11;Shoppings;54,9;-1,89%;0,00%;1,8;133.037.000;87;1;5.803,99;331,16;5,71%;14,89%;;
SHPH11;Shoppings;944;8,50%;8,55%;0,93;574.849.000;100.336;1;16.403,90;1.329,68;8,11%;2,84%;;
SHPP11;Multicategoria;10,5;6,81%;4,68%;1,02;458.850.000;233;0;0;0;0,50%;0,00%;;
SJAU11;Logï¿½ï¿½;0,8;-27,20%;0,00%;0,56;6.345.800;13.103;0;0;0;0,00%;0,00%;;
SMRE11;Multicategoria;63,84;10,33%;19,17%;0,63;66.691.800;383.032;0;0;0;0,00%;0,00%;;
SNAG11;Multicategoria;11,14;10,87%;8,54%;1,08;676.648.000;1.429.660;3;141,74;12,16;8,58%;0,00%;;
SNCI11;Outros;85,03;12,23%;13,94%;0,87;357.126.000;706.415;0;0;0;0,00%;0,00%;;
SNEL11;Outros;8,76;3,52%;13,53%;1,06;461.485.000;1.551.980;1;0;0;12,93%;0,00%;;
SNFF11;Outros;78,69;10,65%;12,27%;0,93;316.384.000;617.970;0;0;0;0,00%;0,00%;;
SNFZ11;Multicategoria;9,8;7,27%;6,63%;0,97;60.783.900;713.672;2;109.255,00;1.010,62;0,93%;0,00%;;
SNLG11;Logï¿½ï¿½;1,54;56,62%;0,64%;2,78;3.896.150;85.978;0;0;0;0,00%;0,00%;;
SNME11;Multicategoria;9,59;11,53%;14,86%;1,01;71.141.000;198.677;0;0;0;0,00%;0,00%;;
SOFF11;Outros;115;-0,35%;3,94%;1,12;211.014.000;13.699;0;0;0;0,00%;0,00%;;
SPG211;Logï¿½ï¿½;11,2;-0,69%;1,18%;0,96;56.952.800;1.627;2;1.272,28;14,76;1,16%;0,00%;;
SPTW11;Outros;37,02;23,31%;14,07%;0,63;66.562.000;83.810;1;4.612,58;1.164,35;25,24%;0,00%;;
SPXS11;Multicategoria;9,17;11,16%;13,20%;0,96;185.134.000;390.167;0;0;0;0,00%;0,00%;;
TELM11;Multicategoria;10,05;11,06%;13,55%;1,02;21.581.000;8.273;2;1.905,04;0;0,00%;0,00%;;
TEPP11;Outros;8,7;84,25%;11,73%;0,09;36.731.100;2.036.330;5;700,57;586,77;83,76%;0,00%;;
TGAR11;Multicategoria;89,71;10,84%;13,21%;0,83;2.114.280.000;5.332.820;5;142,51;15,53;10,90%;0,00%;;
TJKB11;Hospital;259;8,90%;13,69%;1;301.644.000;1.273.490;9;8.038,49;821,19;10,22%;0,00%;;
TMPS11;Outros;86,19;12,53%;11,40%;0,9;84.377.200;206.057;0;0;0;0,00%;0,00%;;
TOPP11;Outros;74,51;13,48%;13,36%;0,7;337.399.000;457.793;2;37.434,00;2.991,86;7,99%;3,44%;;
TORD11;Multicategoria;2;7,30%;8,05%;0,06;11.684.000;23.650;0;0;0;0,00%;0,00%;;
TRBL11;Logï¿½ï¿½;65,14;7,44%;10,74%;0,78;504.124.000;599.695;6;1.577,68;160,89;10,20%;2,52%;;
TRNT11;Escritï¿½ï¿;94;7,64%;0,00%;0,52;369.943.000;12.579;1;5.987,57;641,49;10,71%;28,30%;;
TRXB11;Multicategoria;164,85;5,30%;15,05%;1,74;617.531.000;869.383;12;2.677,68;244,99;9,15%;0,00%;;
TRXF11;Multicategoria;97,23;7,60%;12,00%;0,96;3.159.320.000;15.465.300;57;2.767,94;171,45;6,19%;0,00%;;
TRXY11;Multicategoria;9,45;7,33%;13,97%;1,01;150.919.000;41.823;0;0;0;0,00%;0,00%;;
TSNC11;Multicategoria;81,06;2,91%;0,00%;1,02;88.094.400;2;1;7.109,31;0;0,00%;100,00%;;
TVRI11;Escritï¿½ï¿;98,93;9,96%;12,46%;0,95;1.574.930.000;962.096;57;3.893,99;514,36;13,21%;2,88%;;
URHF11;Multicategoria;69,95;10,84%;20,64%;0,73;7.723.670;17.573;0;0;0;0,00%;0,00%;;
URPR11;Outros;38,82;14,40%;15,94%;0,39;455.510.000;1.108.450;0;0;0;0,00%;0,00%;;
VCJR11;Outros;79,59;12,50%;14,50%;0,84;1.171.880.000;1.887.800;0;0;0;0,00%;0,00%;;
VCRA11;Tï¿½ï¿½tulos e Val.;63,8;20,62%;7,51%;0,63;293.092.000;477.131;0;0;0;0,00%;0,00%;;
VCRI11;Outros;7,41;12,24%;14,64%;0,79;152.229.000;177.303;0;0;0;0,00%;0,00%;;
VCRR11;Logï¿½ï¿½;66;8,25%;9,01%;0,52;132.000.000;477.716;4;11.397,90;2.743,74;24,07%;20,26%;;
VGHF11;Outros;7,21;10,62%;13,97%;0,84;1.187.640.000;3.121.540;0;0;0;0,00%;0,00%;;
VGIA11;Outros;10,08;10,66%;10,14%;1,04;871.468.000;2.075.160;0;0;0;0,00%;0,00%;;
VGII11;Multicategoria;72,84;13,76%;2,17%;0,72;37.794.100;22;0;0;0;0,00%;0,00%;;
VGIP11;Multicategoria;80,45;12,15%;14,25%;0,89;948.284.000;1.869.030;0;0;0;0,00%;0,00%;;
VGIR11;Multicategoria;9,81;14,12%;14,77%;1;1.433.250.000;4.688.800;0;0;0;0,00%;0,00%;;
VGRI11;Outros;8,17;14,18%;18,04%;0,76;286.128.000;614.720;0;0;0;15,27%;0,00%;;
VHFA11;Outros;10,6;13,69%;8,31%;1,05;100.491.000;345;0;0;0;0,00%;0,00%;;
VILG11;Logï¿½ï¿½;99,5;7,87%;8,36%;0,88;1.492.240.000;3.964.810;15;1.685,19;246;14,60%;0,79%;;
VINO11;Multicategoria;5,1;12,43%;12,31%;0,51;422.414.000;668.393;9;6.770,00;1.147,81;16,95%;10,25%;;
VISC11;Shoppings;108,59;8,73%;8,83%;0,88;3.130.500.000;6.345.410;30;3.016,51;290,95;9,65%;0,00%;;
VIUR11;Outros;6,02;13,78%;13,54%;0,72;162.216.000;501.714;7;2.409,37;318;13,20%;3,14%;;
VJFD11;Outros;150;6,54%;7,08%;0,91;731.419.000;31;39;769,9;52,6;6,83%;0,00%;;
VOTS11;Multicategoria;75,26;13,31%;10,81%;0,81;62.308.700;3.480;0;0;0;0,00%;0,00%;;
VRTA11;Outros;80,23;13,09%;12,57%;0,95;1.250.980.000;1.458.620;0;0;0;0,00%;0,00%;;
VRTM11;Multicategoria;7,2;12,20%;14,79%;0,78;338.193.000;401.481;28;4.588,51;0;0,00%;0,00%;;
VSHO11;Shoppings;76,42;10,47%;10,58%;0,66;160.390.000;19.317;3;1.812,69;375,99;20,74%;6,09%;;
VSLH11;Multicategoria;2,2;14,53%;16,48%;0,22;65.701.000;145.049;0;0;0;0,00%;0,00%;;
VTLT11;Logï¿½ï¿½;88,98;13,31%;17,18%;0,98;188.193.000;358.232;1;0;109,76;0,00%;0,00%;;
VVCR11;Multicategoria;9,3;11,25%;13,18%;0,91;69.827.500;731.789;0;0;0;0,00%;0,00%;;
VVMR11;Multicategoria;89,96;2,22%;1,84%;1,04;253.973.000;80.047;5;7.177,82;430,85;6,00%;2,83%;;
VVRI11;Multicategoria;76,74;8,53%;9,01%;0,84;61.597.900;48.015;2;2.387,95;314,24;13,16%;0,00%;;
VXXV11;Outros;720;-0,22%;0,00%;1,15;344.070.000;10.336;1;92,9;6,78;7,30%;90,00%;;
WHGR11;Multicategoria;9,21;13,01%;12,18%;0,95;284.703.000;334.274;1;6.854,24;0;0,00%;0,00%;;
WPLZ11;Shoppings;51,12;9,45%;9,83%;0,94;59.810.400;11.989;1;1.688,06;164,79;9,76%;9,75%;;
WSEC11;Outros;1,41;62,08%;11,81%;0,96;3.463.680;1.596;0;0;0;0,00%;0,00%;;
WTSP11;Multicategoria;52;5,74%;5,94%;0,61;64.405.700;14.676;1;5.171,21;364,57;7,05%;4,76%;;
XPCA11;Multicategoria;8,31;12,26%;9,54%;0,86;378.297.000;697.212;0;0;0;0,00%;0,00%;;
XPCI11;Outros;82,14;12,14%;13,09%;0,92;714.745.000;1.985.570;0;0;0;0,00%;0,00%;;
XPCM11;Escritï¿½ï¿;8,05;-5,18%;0,00%;0,28;19.437.300;17.530;1;1.004,78;51,04;5,08%;56,72%;;
XPIN11;Logï¿½ï¿½;82,17;7,39%;11,13%;0,81;587.550.000;824.084;81;2.291,75;254,03;11,08%;6,01%;;
XPLG11;Logï¿½ï¿½;104,15;8,87%;9,37%;0,98;3.246.970.000;3.817.870;17;3.227,76;268,72;8,33%;5,06%;;
XPML11;Shoppings;109,45;9,47%;9,99%;1,01;6.410.220.000;16.386.900;16;6.811,14;587,7;8,63%;4,00%;;
XPSF11;Outros;6,51;12,97%;11,55%;0,82;281.897.000;926.044;0;0;0;0,00%;0,00%;;
ZAGH11;Multicategoria;10,16;6,76%;7,09%;1,13;90.339.300;17.805;1;2.760,85;206,85;7,49%;0,00%;;
ZAVC11;Outros;9,14;14,35%;16,81%;0,9;32.743.300;13.872;0;0;0;0,00%;0,00%;;
ZAVI11;Multicategoria;10,18;140,24%;12,88%;0,08;11.944.400;56.886;9;163,76;221,88;135,49%;0,83%;;
ZIFI11;Outros;900;-0,37%;0,00%;0,51;42.736.500;1.562;0;0;0;0,00%;0,00%;;
